primary_type,target_type,n_WT,n_5X,r_WT,r_5X,z_fisher,p_fisher,q_fisher
astrocyte,excitatory,14,15,-0.025564567814620624,-0.1947315332333256,-0.41128582385420304,0.680862963169593,0.9649229015966321
astrocyte,inhibitory,14,15,0.04091011128241609,0.26403079840988936,0.5498093583167767,0.582450139218905,0.9649229015966321
astrocyte,microglia,14,15,-0.32260238659856555,-0.002560797936735961,0.795327129410186,0.42642323637083357,0.9649229015966321
astrocyte,oligodendrocyte,14,15,0.4905249066873794,-0.3959713658200985,-2.2893135769992394,0.022061139411802433,0.2647336729416292
excitatory,astrocyte,16,18,-0.096559524841491,-0.08002559272423285,0.04397679409571288,0.9649229015966321,0.9649229015966321
excitatory,inhibitory,16,18,0.10127497570177002,0.038472708117293974,-0.16660403339949725,0.8676816198651078,0.9649229015966321
excitatory,microglia,16,18,-0.27275497187596637,-0.06806057357508014,0.5586006275039542,0.5764343116734321,0.9649229015966321
excitatory,oligodendrocyte,16,18,0.3019574289280713,0.02995444244997282,-0.7434271409609163,0.45722311739548127,0.9649229015966321
inhibitory,astrocyte,12,10,0.015944460083547246,-0.3574192549077444,-0.7736240100555404,0.4391531692342725,0.9649229015966321
inhibitory,excitatory,12,10,0.1712162536519926,0.13691807833783617,-0.06972077245780485,0.944415907982268,0.9649229015966321
inhibitory,microglia,12,10,-0.07467134068619019,0.05549666554441413,0.2586837109381994,0.795879288666193,0.9649229015966321
inhibitory,oligodendrocyte,12,10,0.4043062572817211,-0.35287264733595913,-1.5825042890870025,0.11353449395287751,0.6812069637172651
