primary_type,neighbor_type,stratum,n_5X,n_WT,mwu_p,cliffs_delta,threshold_um,q_mwu
astrocyte,excitatory,proximal,10,11,0.549471691823942,0.16363636363636358,1.0,0.7930531007454085
astrocyte,inhibitory,proximal,10,10,0.9698499769931556,0.020000000000000018,1.0,1.0
astrocyte,microglia,proximal,8,8,0.3822843822843822,-0.28125,1.0,0.7930531007454085
astrocyte,microglia,distal,7,6,0.2948717948717949,0.38095238095238093,1.0,0.7930531007454085
astrocyte,oligodendrocyte,proximal,8,12,0.34314519329999205,0.27083333333333326,1.0,0.7930531007454085
excitatory,astrocyte,proximal,11,11,0.26429152373398135,-0.2892561983471075,1.0,0.7930531007454085
excitatory,astrocyte,distal,7,5,0.5303030303030304,-0.2571428571428571,1.0,0.7930531007454085
excitatory,inhibitory,proximal,12,12,0.2602362026171888,-0.2777777777777778,1.0,0.7930531007454085
excitatory,microglia,proximal,8,6,0.08125208125208126,-0.5833333333333333,1.0,0.7930531007454085
excitatory,microglia,distal,10,10,0.7337299956962472,-0.09999999999999998,1.0,0.9433671373237464
excitatory,oligodendrocyte,proximal,12,11,0.4060484491047267,-0.21212121212121215,1.0,0.7930531007454085
excitatory,oligodendrocyte,distal,6,5,0.5367965367965368,-0.2666666666666667,1.0,0.7930531007454085
inhibitory,astrocyte,proximal,7,7,0.534965034965035,0.22448979591836737,1.0,0.7930531007454085
inhibitory,microglia,proximal,7,7,1.0,0.020408163265306145,1.0,1.0
oligodendrocyte,astrocyte,proximal,6,7,0.4452214452214452,-0.2857142857142857,1.0,0.7930531007454085
oligodendrocyte,excitatory,proximal,7,9,0.9181818181818182,0.04761904761904767,1.0,1.0
oligodendrocyte,inhibitory,proximal,8,6,0.5727605727605728,-0.20833333333333337,1.0,0.7930531007454085
oligodendrocyte,microglia,proximal,5,6,0.7922077922077921,-0.1333333333333333,1.0,0.9506493506493505
