primary_type,neighbor_type,stratum,n_5X,n_WT,delta_mean_phase_rad,p_perm,q_perm,n_perm,threshold_um
astrocyte,excitatory,proximal,10,11,-1.1855064027286657,0.8500749625187406,0.9250374812593704,2000,1.0
astrocyte,inhibitory,proximal,10,10,-0.7183910328471725,0.823088455772114,0.9250374812593704,2000,1.0
astrocyte,microglia,proximal,8,8,-0.32089060645395406,0.8900549725137431,0.9250374812593704,2000,1.0
astrocyte,microglia,distal,7,6,-1.1059218232974128,0.9250374812593704,0.9250374812593704,2000,1.0
astrocyte,oligodendrocyte,proximal,8,12,-0.7740057070107351,0.591704147926037,0.9250374812593704,2000,1.0
excitatory,astrocyte,proximal,11,11,-0.4383872912218667,0.841079460269865,0.9250374812593704,2000,1.0
excitatory,astrocyte,distal,7,5,2.8012636432088023,0.09345327336331834,0.841079460269865,2000,1.0
excitatory,inhibitory,proximal,12,12,-1.7416323113172616,0.5687156421789106,0.9250374812593704,2000,1.0
excitatory,microglia,proximal,8,6,-1.9067646677438086,0.3218390804597701,0.9250374812593704,2000,1.0
excitatory,microglia,distal,10,10,0.8288749692473414,0.7151424287856072,0.9250374812593704,2000,1.0
excitatory,oligodendrocyte,proximal,12,11,-0.3105738354856076,0.8555722138930535,0.9250374812593704,2000,1.0
excitatory,oligodendrocyte,distal,6,5,2.4657942450253945,0.20089955022488756,0.9250374812593704,2000,1.0
inhibitory,astrocyte,proximal,7,7,-2.08976660551269,0.42128935532233885,0.9250374812593704,2000,1.0
inhibitory,microglia,proximal,7,7,-2.9925937745138027,0.08345827086456771,0.841079460269865,2000,1.0
oligodendrocyte,astrocyte,proximal,6,7,0.72310225648731,0.5617191404297851,0.9250374812593704,2000,1.0
oligodendrocyte,excitatory,proximal,7,9,1.2354516099244828,0.2708645677161419,0.9250374812593704,2000,1.0
oligodendrocyte,inhibitory,proximal,8,6,0.6568479343087184,0.3493253373313343,0.9250374812593704,2000,1.0
oligodendrocyte,microglia,proximal,5,6,0.2728976264941996,0.7381309345327336,0.9250374812593704,2000,1.0
